treatment,participant.id_in_session,participant.code,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,player.language,player.municipality_home,player.driving_license,player.access_to_car,player.car_type,player.buy_car_type,player.access_to_bike,player.access_to_motorbyke,player.access_to_scooter,player.employ_status,player.municipality_destination,player.trip_purpose,player.trip_other,player.trip_moment,player.trip_mode,player.mode_other,player.trip_traffic,player.trip_time,player.trip_cost,player.trip_tolls,player.trip_alternative_mode,player.trip_alternative_rate,player.trip_alternative_justification,player.inequality_perception,player.inequality_wish,player.income_distribution,session.code
Social Norm,65,m3gt87zy,169,169,A_Planet3_ES,End,19:42.9,1,ES,64,1,0,1,,1,2,2,0,81,0,,0,4,,1,2,0,,0,0,,3,5,3,uln4i2w2
Baseline,66,87r3ztc7,169,169,A_Planet3_ES,End,52:00.4,1,ES,83,0,1,1,4,0,2,2,2,53,7,Visitar segunda residencia,0,1,,2,2,2,1,4,1,,3,4,2,uln4i2w2
Pollution,67,bcqkcoin,169,169,A_Planet3_ES,End,57:40.8,1,ES,88,1,1,0,4,2,2,2,0,92,0,,0,3,,0,2,3,,1,2,,3,5,2,uln4i2w2
Public Services,68,mxwgg2gu,169,169,A_Planet3_ES,End,26:19.4,1,ES,4,1,0,1,,2,1,1,2,12,4,,2,3,,1,1,2,,3,1,,4,3,3,uln4i2w2
Social Norm,70,knetg7bm,169,169,A_Planet3_ES,End,45:52.7,1,ES,6,0,1,0,4,0,2,2,2,64,1,,0,3,,1,0,1,,2,1,,1,4,2,uln4i2w2
Baseline,71,hrd6w0r8,169,169,A_Planet3_ES,End,01:08.6,1,ES,73,1,0,0,,2,2,2,4,64,6,,2,5,,2,1,1,,2,1,,3,4,3,uln4i2w2
Pollution,72,kapv8l3b,169,169,A_Planet3_ES,End,27:49.0,1,ES,46,1,0,1,,2,2,2,0,143,0,,0,0,,1,0,1,1,1,1,,1,3,2,uln4i2w2
Public Services,73,5rwmd8l6,169,169,A_Planet3_ES,End,31:17.6,1,ES,73,0,0,1,,2,2,1,0,82,0,,0,4,,0,3,2,,3,1,,1,2,4,uln4i2w2
Road Pricing,74,40ibzesx,169,169,A_Planet3_ES,End,01:44.6,1,ES,88,1,1,1,4,0,2,2,0,88,0,,0,2,,1,1,1,,3,0,,4,5,3,uln4i2w2
Social Norm,75,9vtbeq8e,169,169,A_Planet3_ES,End,07:24.1,1,ES,73,1,1,0,4,1,2,1,2,6,6,,1,3,,1,0,1,,0,3,,3,4,3,uln4i2w2
Baseline,76,aamf7pwl,169,169,A_Planet3_ES,End,23:34.7,1,ES,92,1,1,0,4,1,1,2,2,81,5,,2,3,,1,1,0,,5,1,,2,4,3,uln4i2w2
Public Services,78,9lk12f65,169,169,A_Planet3_ES,End,44:01.1,1,ES,64,1,0,0,,2,2,2,1,73,6,,2,0,,1,0,2,1,3,1,,3,5,3,uln4i2w2
Road Pricing,79,qp73ogxu,169,169,A_Planet3_ES,End,02:30.6,1,ES,57,1,0,2,,2,2,2,0,91,0,,0,4,,0,2,5,,0,1,,1,5,3,uln4i2w2
Social Norm,80,9brj2ixg,169,169,A_Planet3_ES,End,33:10.4,1,ES,130,1,1,1,4,0,2,2,2,73,1,,0,3,,1,2,0,,0,0,,3,5,3,uln4i2w2
Baseline,81,qi09q0sa,169,169,A_Planet3_ES,End,34:36.1,1,ES,64,0,2,,4,1,2,2,2,169,5,,2,4,,1,3,2,,1,3,,4,5,3,uln4i2w2
Pollution,82,z4ro1c9x,169,169,A_Planet3_ES,End,43:07.9,1,ES,97,1,2,,4,0,2,2,0,82,0,,0,4,,0,1,0,,3,1,,1,5,3,uln4i2w2
Public Services,83,rjcuuycq,169,169,A_Planet3_ES,End,57:46.5,1,ES,0,1,1,2,1,1,0,2,0,6,6,,3,3,,2,1,1,,2,0,,6,6,5,uln4i2w2
Road Pricing,84,j659sltz,169,169,A_Planet3_ES,End,05:47.8,1,ES,85,1,1,1,4,2,2,2,0,85,0,,0,2,,2,2,1,,0,0,,2,5,4,uln4i2w2
Social Norm,85,2eqkjz0s,169,169,A_Planet3_ES,End,25:31.8,1,ES,4,0,2,,4,2,2,2,0,98,1,,1,4,,1,3,2,,2,0,,4,2,4,uln4i2w2
Baseline,86,q8zk1goq,169,169,A_Planet3_ES,End,01:35.2,1,ES,80,1,2,,2,0,2,2,2,81,1,,0,2,,2,0,1,,3,0,,3,5,3,uln4i2w2
Pollution,87,vz4ndwcd,169,169,A_Planet3_ES,End,36:04.2,1,ES,73,1,1,0,2,0,2,2,2,64,1,,0,4,,0,1,0,,2,0,,3,4,3,uln4i2w2
Public Services,88,2s8tpdkn,169,169,A_Planet3_ES,End,03:08.2,1,ES,89,1,1,1,4,0,2,2,0,94,0,,0,3,,0,0,0,,8,1,,2,4,3,uln4i2w2
Road Pricing,89,7qmr53qd,169,169,A_Planet3_ES,End,56:27.9,1,ES,191,1,1,2,4,2,1,2,0,82,0,,0,0,,0,3,2,1,2,2,,4,4,2,uln4i2w2
Social Norm,90,h1333c3r,169,169,A_Planet3_ES,End,59:29.2,1,ES,44,1,1,1,4,0,2,2,2,110,1,,1,4,,1,3,3,,0,0,,3,5,3,uln4i2w2
Baseline,91,svgvhfkx,169,169,A_Planet3_ES,End,01:45.1,1,ES,85,1,0,0,,0,0,2,0,82,0,,0,8,,1,0,0,1,3,1,,4,5,3,uln4i2w2
Pollution,92,wv0toxws,169,169,A_Planet3_ES,End,30:40.7,1,ES,84,1,1,0,4,2,2,2,0,93,0,,0,3,,0,0,0,,2,1,,3,4,3,uln4i2w2
Public Services,93,kude0f05,169,169,A_Planet3_ES,End,36:53.5,1,ES,91,1,0,1,,0,1,2,2,64,1,,1,0,,1,1,1,1,4,0,,2,4,3,uln4i2w2
Road Pricing,94,y78a0e4p,169,169,A_Planet3_ES,End,13:57.2,1,ES,64,1,1,0,4,0,2,2,0,64,0,,2,0,,2,0,2,1,2,1,,4,4,4,uln4i2w2
Social Norm,95,alsprk3f,169,169,A_Planet3_ES,End,44:47.8,1,ES,81,1,2,,4,2,2,2,0,90,6,,2,2,,0,0,1,,4,1,,4,5,4,uln4i2w2
Baseline,96,enhpmva1,169,169,A_Planet3_ES,End,18:29.5,1,ES,78,1,0,0,,1,2,2,0,21,0,,0,0,,1,1,3,1,8,0,,3,4,3,uln4i2w2
Pollution,97,s3iwzftl,169,169,A_Planet3_ES,End,07:21.7,1,ES,97,1,0,0,,0,2,2,0,5,0,,0,0,,0,1,1,1,1,0,,3,5,3,uln4i2w2
Public Services,98,lhilbbyr,169,169,A_Planet3_ES,End,28:28.0,1,ES,95,0,2,,4,1,2,2,0,64,0,,0,5,,2,1,1,,4,1,,2,5,4,uln4i2w2
Road Pricing,99,mmwi7ssd,169,169,A_Planet3_ES,End,03:47.7,1,ES,79,0,1,1,4,2,2,2,2,91,0,,0,2,,1,1,1,,3,0,,4,4,2,uln4i2w2
